Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* RAB.2+3: i21 actual startup
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Lili-2+3;Heat Burst;r30;;
H.BT.2+3;l,M,M,M;15,5,5,20;i16 i27~28 i6~8 i20~22;-8;+23a (+5);;"* Heat Smash
* Homing
* Balcony Break
* 5 chip damage
* High crush 4~?
* Low crush 25~?";hs hom bbr cs4~? js25~?;BT;Lili-H.BT.2+3;Rosa Giganteia Mezzo Forte;BT;;
H.RAB.2;m;24;i20;-9;+39d (-19);;"* Heat Engager

* Heat Dash +5 +36a (+26) 

* Balcony Break
* Partially consumes remaining Heat Time";he bbr;;Lili-H.RAB.2;Rabbit Song;;;File:t8-p2-lili-b+3,2.mp4
H.RAB.3;L;22;i20~21;-13;+24a;+70a (+54);"* Homing
* Tornado on CH
* Partially consumes remaining Heat time
* High crush 6~";hom cs6~;FC;Lili-H.RAB.3;Rabbit Dance (Heat);FC;;
H.RAB.4;m;36;i23~29;+7~+13;+20~26a (-6~+0);;"* Balcony Break
* Partially consumes remaining Heat Time
* Low crush 15~";bbr js15~;;Lili-H.RAB.4;Rabbit Piercing Thorn (Heat);;;
H.b+3*;;;;;;;"* Actionable after 48f
* Stance moves can be buffered
* Transition to r57 DEW with F
* Partially restores remaining Heat Time
* Low crush 38~50
* Floating state 51~53";js38~50 fs51~53;DEW,RAB;Lili-H.b+3*;;r48 RAB;;
H.f,F+3+4;m;36;i19~25;+7~+13;+20~26a (-6~+0);;"* Balcony Break
* 16 chip damage on block
* Partially consumes remaining Heat time
* Low crush";bbr js;;Lili-H.f,F+3+4;Piercing Thorn (Heat);;;
H.2+3;m,t;55;i16;+7;+0d;;"* Heat Smash
* Balcony Break
* H.RAB.2+3: i21 actual startup
* Transition to +14g DEW with F on block 
* 6 chip damage on block";hs bbr;DEW;Lili-H.2+3;Le Rosier Millénaire Mezzo Forte;;;
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";rbr pc8~;;Lili-R.df+1+2;La Vie en Rose Fortissimo;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Lili-1;Jab;r19;;
1,1;h, h;5, 16;i10, i20~21;-6;+4;;"* Elbow
* Jail from 1st attack with no delay
* Combo from 1st hit with 5f delay
* Move can be delayed 6f";elb;BT;Lili-1,1;;r24 BT;;
1,1,3;h, h, M;5, 16, 17;i10, ,i20~21;-15;+6d;+25a;"* Combo from 2nd CH with 6f delay
* Input can be delayed 6f
* Move can be delayed 5f
* Recovers 4f faster on hit
* Steel pedal";;;Lili-1,1,3;Tricolore;r36;;File:t8-p2-lili-1,1,3.mp4
1,2;h, h;5, 12;i10, i12;-3;+8;;* Jail from 1st attack with 6f delay;;;Lili-1,2;Left Right Thrust;r21;;File:t8-p2-lili-1,2.mp4
1,2,3;h, h, L;5, 12, 13;i10, ,i26;-13;-2;+6c;"* Combo from 2nd CH
* High crush 10~45";cs10~45;;Lili-1,2,3;Left Right Back Strike;r32;;File:t8-p2-lili-1,2,3.mp4
1,2,4;h, h, m;5, 12, 20;i10, ,i29~34;-9~-4;+2a (-7);;"* Balcony Break
* Input can be delayed 4f
* Move can be delayed 3f
* Powers up in Heat
* Chip on block [6]
* Low crush 22~42
* Floating state 43~45";bbr chp js22~42 fs43~45;;Lili-1,2,4;Left Right Piercing Thorn;r42;;File:t8-p2-lili-1,2,4.mp4
H.1,2,4;h, h, m;5, 12, 30;i10, ,i29~34;+5~+10;+18~23a (-8~-3);;"* Balcony Break
* 13 chip damage on block
* Input can be delayed 4?f
* Move can be delayed 3?f
* Partially consumes remaining Heat time
* Low crush 21?~41?
* Floating state 42?~44?";bbr js21?~41? fs42?~44?;;Lili-1,2,H.4;Left Right Piercing Thorn (Heat);r42?;;
2;h;8;i10;+0;+8;;;;;Lili-2;;r19;;
2,3;h, L;8, 13;i10, i26;-13;-2;+6c;"* Combo from 1st hit
* High crush 10~45";cs10~45;;Lili-2,3;Sunrise Sunset;r32;;File:t8-p2-lili-2,3.mp4
2,4;h, h;8, 20;i10, i22~26;-2~+2;+24a (+15);;"* Balcony Break 
* Combo from 1st hit with 5f delay
* Move can be delayed 10f";bbr;;Lili-2,4;Bed Time;r22;;File:t8-p2-lili-2,4.mp4
3;m;12;i15~16;-11;-3;;;;BT;Lili-3;;r32 BT;;
3,1;m, m;12, 20;i15~16, i27~28;-13;+14d;;"* Heat Engager
 
* Heat Dash +5 +36a (+26)

* Balcony Break
* Combo from 1st hit
* +11d on BT hit";he bbr;;Lili-3,1;Peacock Waltz;r33;;File:t8-p2-lili-3,1.mp4
3,2;m, h;12, 8;i15~16, i27;-5;+2;+10;"* Combo from 1st hit with 2f delay
* Input can be delayed 2f
* Move cannot be delayed
* Enter DEW -2 +5 +14 r21 with F";;DEW;Lili-3,2;;r24;;
3,2,3;m, h, h;12, 8, 22;i15~16, ,i24~27;-9~-6;+13a (+4);;"* Balcony Break
* Combo from 2nd CH with 4f delay
* Input can be delayed 4f
* Move cannot be delayed
* Low crush 17~35
* Floating state 36~38";bbr js17~35 fs36~38;;Lili-3,2,3;Peacock Jive;r34;;File:t8-p2-lili-3,2,3.mp4
4;h;16;i12;-4;+7;;;;;Lili-4;;r23;;
1+2;m;26;i12~13;-12;+20a (+10);;* Balcony Break;bbr;;Lili-1+2;Broken Heart;r35;;File:t8-p2-lili-1+2.mp4
3+4;h,h;10,20;i23~24 i14~15;-2;+20a (+11);;"* Heat Engager
 
* Heat Dash +5 +62a (+42)

* Homing
* Balcony Break
* Jail from 1st attack
* Chip damage on block [8]
* Low crush 22~36
* Floating state 37~39";he hom bbr chp js22~36 fs37~39;;Lili-3+4;Black Swan;r29;;File:t8-p2-lili-3+4.mp4
H.3+4,3+4;h,h,m,M;10,10,15,20;i23~24 i14~15 i36~38 i9~11;+7;+20d(-15);;"* Homing
* Floor Break 
* Partially consumes remaining Heat time
* Low crush 22?";hom fbr js22?;BT;Lili-3+4,H.3+4;White Swan Mezzo Piano (Block);BT;;
H.3+4,3+4;h,t;45;i23;+7;-3d;;"* Homing
* Floor Break 
* Partially consumes remaining Heat time
* Low crush 22~";hom fbr js22~;BT;Lili-3+4,H.3+4;White Swan Mezzo Piano;BT;;
f+2;h;10;i12~13;-9;-1;;;;;Lili-f+2;;r27;;
f+2,3;h, m;10, 20;i12~13, i22~23;-15;+24a (+7);;"* Balcony Break
* Combo from 1st hit with 4f delay
* Move can be delayed 8f";bbr;;Lili-f+2,3;Mars Sword;r34;;File:t8-p2-lili-f+2,3.mp4
f+3;m;26;i20~22;-3;+17a (+8);+34d;"* Homing
* Balcony Break
* Knee";hom bbr kne;;Lili-f+3;Circle Knee;r31;;File:t8-p2-lili-f+3.mp4
f+4;m;23;i17;-9;+7;+57a;"* Tornado
* Balcony Break (airborne)
* Wall Crush +19g on hit


* Hit vs BT +12a (+3)";trn wc;;Lili-f+4;Bélier Attaque;r33;;File:t8-p2-lili-f+4.mp4
f+1+2;m;17;i14~15;-7;+4c;+12c;* Floor Break;fbr;;Lili-f+1+2;Kitty Claws;r30;;File:t8-p2-lili-f+1+2.mp4
f+3+4;m,M;6,20;i18~20 i11~13;-9;+1d;;"* Floor Break
* Jail from 1st attack
* +12d on hit if the first kick whiffs
* Low crush 11~27
* Floating state 28~30";fbr js11~27 fs28~30;;Lili-f+3+4;Sundial;r26;;File:t8-p2-lili-f+3+4.mp4
f+3+4,3;m,M, M;6,20, 20;i18~20 i11~13, i30~33;-8;+23a;;"* Floor Break
* Combo from 1st hit
* Input can be delayed 3f
* Move cannot be delayed
* Interrupt with i15 from 1st block";fbr;;Lili-f+3+4,3;;r24;;
f+3+4,3,4;m,M, M, M;6,20, 20, 20;i18~20 i11~13, ,i19~23;-20;+10 (+3);;"* Combo from 1st hit
* Input can be delayed 12f
* Move can be delayed 11f
* Interrupt with i3 from 2nd block
* Huge pushback on block, difficult to punish
* Steel pedal
* Low crush 19~43
* Floating state 44~46";js19~43 fs44~46;;Lili-f+3+4,3,4;Garland Kick Combo;r37;;File:t8-p2-lili-f+3+4,3,4.mp4
df+1;m;10;i13;-1;+8;;;;;Lili-df+1;;r23;;
df+2;m;15;i16~17;-11;+31a (+21);;"* Enter BT with b
* Recovers 2f faster on hit
* Launches crouching opponent";;BT;Lili-df+2;Orleans Sword;r30;;File:t8-p2-lili-df+2.mp4
df+3;m;20;i20~22;+3c;+8c;+19a;* Floor Break;fbr;;Lili-df+3;Submissive Heel;r28;;File:t8-p2-lili-df+3.mp4
df+4;m;12;i13~14;-8;-2;+5;* Knee;kne;;Lili-df+4;;r31;;
df+4,4;m, L;12, 23;i13~14, i20~21;-13;-2;+8;"* Floor Break
* Combo from 1st hit with 9f delay
* Input can be delayed 13f
* Move can be delayed 8f";fbr;;Lili-df+4,4;Dominating Heel;r31;;File:t8-p2-lili-df+4,4.mp4
df+3+4;M;14;i24~29;-4~+1;+27a;;* Low crush 12~30;js12~30;BT;Lili-df+3+4;Backflip;r18 BT;;File:t8-p2-lili-df+3+4.mp4
