Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
H.2+3;m,m (t);50;i16;+7;+0d;;"* Heat Smash
* Balcony Break
* Transition to Attack Throw on hit
* 2nd hit damage 25
* +27a (+1) If only last hit connects on standing opponent
* 5 chip damage on block
* Low crush 15~25";hs bbr js15~25;;Hanuman Impact;r45;;File:t8-p2-fahkumram-H.2+3.mp4;Fahkumram-H.2+3;fahkumram
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;Avatar of Garuda;r39;;t8-p2-fahkumram-r.df+1+2.mp4;Fahkumram-R.df+1+2;fahkumram
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-fahkumram-1.mp4;Fahkumram-1;fahkumram
1,1;h, m;5, 20;i10, i20~21;-9;+8c;;"* Floor Break
* Elbow
* Combo from 1st CH with 2F delay
* Input can be delayed by 2F
* Move cannot be delayed
* +10a on BT hit
* Interrupt with i3 from 1st block";fbr elb;;Jab > Elbow Scythe;r29;;File:t8-p2-fahkumram-1,1.mp4;Fahkumram-1,1;fahkumram
1,2;h, h;5, 8;i10, i10;-3;+5;;"* Jail from 1st block with 2f delay
* Combo from 1st hit with 2F delay";;;Left Right Combo;r21;;File:t8-p2-fahkumram-1,2.mp4;Fahkumram-1,2;fahkumram
1,2,1;h, h, m;5, 8, 15;i10, ,i17~18;-10;+3;;* Input can be delayed 12f;;;;r28;;File:t8-p2-fahkumram-1,2,1.mp4;Fahkumram-1,2,1;fahkumram
1,2,1,4;h, h, m, m;5, 8, 15, 23;i10, ,i21~22;-14;+13a (+4);;"* Balcony Break
* Knee
* Combo from 3rd hit with 10f delay
* Interrupt with i4 from 1st block
* Input can be delayed 12f
* Move can be delayed 10f";bbr kne;;Ban Chiang Combination;r34;;File:t8-p2-fahkumram-1,2,1,4.mp4;Fahkumram-1,2,1,4;fahkumram
1,2,4;h, h, h;5, 8, 10;i10, ,i17;-9;+6;;"* Input can be delayed 2f
* Move cannot be delayed";;;;r27;;File:t8-p2-fahkumram-1,2,4.mp4;Fahkumram-1,2,4;fahkumram
1,2,4,3;h, h, h, h;5, 8, 10, 14;i10, ,i19~20;-7;+6;+29a;"* Balcony Break (airborne)
* Combo from 3rd hit";;;Left Right Combo > Thunderstorm;r25;;File:t8-p2-fahkumram-1,2,4,3.mp4;Fahkumram-1,2,4,3;fahkumram
1,2,4,3~4;h, h, h, m;5, 8, 10, 20;i10, ,i21~22;-5;+9;+44a;"* Knee
* Can be charged with held input
* Effective startup i36~37
* Interrupt with i17 from 3rd block
* Interrupt with i5 from 3rd hit
* Move can be delayed by 2F
* Recovers 2f slower on hit or block";kne;;Left Right Combo > Erupting Knee Convergence;r23;;File:t8-p2-fahkumram-1,2,4,3~4.mp4;Fahkumram-1,2,4,3~4;fahkumram
1,2,4,3~4*;h, h, h, m;5, 8, 10, 25;i10, ,i36~37;+9;+73a (+57);;"* Knee
* Unparryable
* Instant Tornado on hit
* Chip damage on block
* Effective startup i51~52
* Interrupt with i32 from 3rd block
* Interrupt with i20 from 3rd hit
* Cancel to r20 FC with F at frames 16-24 (frames 31-39 from 3rd attack)
** Interrupt with i33? mid/low from 3rd block
** Interrupt with i21? mid/low from 3rd hit
* Move can be delayed by 2F
* Power up in Heat or GRF";kne chp;FC;Left Right Combo > Charged Erupting Knee;r30;;File:t8-p2-fahkumram-1,2,4,3~4x.mp4;Fahkumram-1,2,4,3~4*;fahkumram
1,2,4,3~4*~B;h, h, h, m;5, 8, 10, 25;i10, ,i22;-7;+9;;"* Homing
* Balcony Break
* Effective startup i53
* Interrupt with i34 from 3rd block
* Interrupt with i22 from 3rd hit
* Input B during frames 16-24 of Eruption Maw (charged)
* Move can be delayed by 8F from Eruption Maw (charged)";hom bbr;;Eruption Maw;r37;;File:t8-p2-fahkumram-1,2,4,3~4x~B.mp4;Fahkumram-1,2,4,3~4*~B;fahkumram
1,2,4,4;h, h, h, L;5, 8, 10, 15;i10, ,i25;-15;-4;+0d;"* Combos from 3rd hit
* Shift to attack throw Murderous Sweep and gain GRF on CH";;;Left Right Combo > Twin Bolts;;;File:t8-p2-fahkumram-1,2,4,4.mp4;Fahkumram-1,2,4,4;fahkumram
1,4;h, h;5, 17;i10, i17;-8;+8;;* Combos from 1st hit;;;Jab > High Kick;r26;;File:t8-p2-fahkumram-1,4.mp4;Fahkumram-1,4;fahkumram
2;h;13;i12;-8;+3;;* Elbow;elb;;;;;File:t8-p2-fahkumram-2.mp4;Fahkumram-2;fahkumram
2,1;h, h;13, 20;i12, i20;-12;+15a (+6);;"*
Balcony Break
* Elbow
* Combo from 1st hit
* r29 on hit";bbr elb;;Double Elbow Strike;r32;;File:t8-p2-fahkumram-2,1.mp4;Fahkumram-2,1;fahkumram
2,3;h, m;13, 22;i12, i31;-4;+27a (+17);;"*
Balcony Break
* Combos from 1st hit CH";bbr;;Double Blast;;;File:t8-p2-fahkumram-2,3.mp4;Fahkumram-2,3;fahkumram
3;m;11;i13;-9;+2;+9;;;;;;;File:t8-p2-fahkumram-3.mp4;Fahkumram-3;fahkumram
